Transaction ID,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month,Day of Week,Demand Elasticity,Competitor Pricing
37,CUST037,Female,18,0,3,25,75,5,1,0.9569206537600561,23.39874963768066
38,CUST038,Male,38,0,4,50,200,3,1,0.6465081710095758,54.49533543057523
39,CUST039,Male,23,1,4,30,120,4,4,1.5263495397682354,24.784276089587312
40,CUST040,Male,45,0,1,50,50,6,3,1.1602287406094018,46.305806756612206
41,CUST041,Male,34,1,2,25,50,2,2,0.6830573522671682,25.39491292375337
42,CUST042,Male,22,1,3,300,900,2,4,1.2427653651669053,334.8867797806756
43,CUST043,Female,48,1,1,300,300,7,4,0.5515827816728276,278.2503003518484
44,CUST044,Female,22,1,1,25,25,2,6,1.8639806031181732,26.25891376437009
45,CUST045,Female,55,2,1,30,30,7,0,0.8881699724000254,34.63173297883424
46,CUST046,Female,20,2,4,300,1200,6,0,1.4937834265309728,313.90358258187655
47,CUST047,Female,40,0,3,500,1500,11,0,0.9675666141341164,446.5918949507268
48,CUST048,Male,54,2,3,300,900,5,1,1.2801020317667162,242.9280937867846
49,CUST049,Female,54,2,2,500,1000,1,0,1.3200654190149195,574.0197747801859
50,CUST050,Female,27,0,3,25,75,8,3,0.7772816832882905,20.21269410850387
51,CUST051,Male,27,0,3,25,75,10,0,1.9543769416468377,28.747016726841995
52,CUST052,Female,36,0,1,300,300,3,6,1.6626992350416718,303.47245608326546
53,CUST053,Male,34,2,2,50,100,7,3,1.9092484123462836,58.781353970257925
54,CUST054,Female,38,2,3,500,1500,2,4,1.8422410256414732,559.7566471547331
55,CUST055,Male,31,0,4,30,120,10,1,1.3968499682166278,35.97520932640005
56,CUST056,Female,26,1,3,300,900,5,2,1.8828113525346752,282.0854178542052
57,CUST057,Female,63,0,1,30,30,11,5,0.6327387530778792,33.20625946717352
58,CUST058,Male,18,1,4,300,1200,11,0,0.7939742936287177,288.23170963310906
59,CUST059,Male,62,1,1,50,50,7,2,0.5678409333658071,49.597512406078174
60,CUST060,Male,30,0,3,50,150,10,0,0.9879954961448965,52.55010926436741
61,CUST061,Male,21,0,4,50,200,4,6,1.083015934534223,57.47354228372677
62,CUST062,Male,18,0,2,50,100,12,2,0.9070235476608439,59.681669383985906
63,CUST063,Male,57,2,2,25,50,2,6,1.743106263727894,27.68273413864518
64,CUST064,Male,49,1,4,25,100,1,1,1.0351299900403839,24.17766782167334
65,CUST065,Male,51,2,4,500,2000,12,1,0.9214017645310711,484.27140045541404
66,CUST066,Female,45,2,1,30,30,4,3,1.3140441247373726,32.85098761906669
67,CUST067,Female,48,0,4,300,1200,5,0,0.711386337462144,268.65325749219625
68,CUST068,Male,25,2,1,300,300,2,4,1.7032954711310595,253.25689357576738
69,CUST069,Female,56,0,3,25,75,4,6,0.6118259655196563,23.546221576407767
70,CUST070,Female,43,1,1,300,300,2,1,1.980330404900776,274.4686789984898
71,CUST071,Female,51,0,4,25,100,7,4,1.6583671539449862,22.963081204559902
72,CUST072,Female,20,2,4,500,2000,5,1,0.7980735223012586,446.721550209982
73,CUST073,Male,29,2,3,30,90,8,0,0.5082831756854036,24.505118275636345
74,CUST074,Female,18,0,4,500,2000,11,2,1.7231921426822512,403.5747869466828
75,CUST075,Male,61,0,4,50,200,7,3,1.5602860157714256,59.75444779472063
76,CUST076,Female,22,2,2,50,100,3,5,1.5935107520614809,48.55546267471725
77,CUST077,Female,47,1,2,50,100,7,6,1.6569055200289187,47.68653294319363
78,CUST078,Female,47,1,3,500,1500,7,5,0.6110669776011355,535.9294565386139
79,CUST079,Male,34,0,1,300,300,4,1,1.0376985928164089,266.1904665438077
80,CUST080,Female,64,1,2,30,60,12,6,0.6738035892876946,35.399534207402695
81,CUST081,Male,40,2,1,50,50,5,2,1.7946551388133902,55.72690028831104
82,CUST082,Female,32,0,4,50,200,12,1,1.4349471902413369,41.78822004624519
83,CUST083,Male,54,2,2,50,100,12,5,0.9963470372789738,48.35161551569856
84,CUST084,Female,38,2,3,30,90,11,1,0.5953375254290354,34.54941969074598
85,CUST085,Male,31,1,3,50,150,2,0,0.9664734825734933,58.89464044582821
86,CUST086,Male,19,0,3,30,90,11,2,0.9877749830401206,29.608818134998437
87,CUST087,Female,28,0,2,50,100,11,2,1.5944092675070962,52.26822778421415
88,CUST088,Male,56,1,1,500,500,3,2,1.4563362070328196,433.4067892184151
89,CUST089,Female,55,2,4,500,2000,10,6,1.8308191138644898,598.2337252273952
90,CUST090,Female,51,2,1,30,30,5,5,1.2083223877429239,26.78006041660132
91,CUST091,Female,55,2,1,500,500,3,5,0.6793913689074526,588.5463548270251
92,CUST092,Female,51,2,4,30,120,8,4,1.5698671808344926,31.795759787908423
93,CUST093,Female,35,0,4,500,2000,7,4,1.6411775729253462,521.5473589757718
94,CUST094,Female,47,0,2,500,1000,5,4,1.3419157963542443,502.53770220330176
95,CUST095,Female,32,1,2,30,60,11,4,1.6564507699318414,26.768037740613103
96,CUST096,Female,44,1,2,300,600,12,1,1.2406933945465861,261.183363840661
97,CUST097,Female,51,0,2,500,1000,10,4,1.284099244072991,444.0972418140351
98,CUST098,Female,55,0,2,50,100,4,6,1.1413115275378245,43.72876524288509
99,CUST099,Female,50,2,4,300,1200,12,6,0.5381286901161428,333.55013682801035
100,CUST100,Male,41,2,1,30,30,6,4,0.6618371404899567,28.20150311000076
101,CUST101,Male,32,1,2,300,600,1,6,0.5471437785301014,246.94112118760756
102,CUST102,Female,47,0,2,25,50,4,4,1.4546156168956705,29.69102630140811
103,CUST103,Female,59,1,1,25,25,1,1,0.97153397161449,28.83785884963426
104,CUST104,Female,34,0,2,500,1000,6,6,1.262856036747054,585.5504566390426
105,CUST105,Female,22,2,1,500,500,7,1,1.8613497108891395,598.9815645292871
106,CUST106,Female,46,1,1,50,50,5,3,0.8739383437233124,43.477904984389745
107,CUST107,Female,21,1,4,300,1200,2,4,1.1155743845534447,287.54904226831906
108,CUST108,Female,27,0,3,25,75,4,2,1.633326707814573,27.582384757040913
109,CUST109,Female,34,2,4,500,2000,10,2,0.8431972482374337,539.2041236107584
110,CUST110,Male,27,1,3,300,900,6,6,0.6154698647431895,258.4675087607826
111,CUST111,Female,34,2,3,500,1500,4,2,0.934627179370652,563.1666249981236
112,CUST112,Male,37,1,3,500,1500,12,5,0.7418319308810066,444.88811436733215
113,CUST113,Female,41,2,2,25,50,9,2,1.8945464785138597,22.238176148226234
114,CUST114,Female,22,0,4,25,100,7,5,1.7121805693466254,25.369744228934138
115,CUST115,Male,51,1,3,500,1500,11,6,1.4501056347656351,518.5879869683406
116,CUST116,Female,23,1,1,30,30,8,2,1.8071908852815766,30.961034494053735
117,CUST117,Male,19,2,2,500,1000,3,2,1.7055081153486717,418.297367479551
118,CUST118,Female,30,2,4,500,2000,5,1,0.7798550883290538,575.492172526076
119,CUST119,Female,60,1,3,50,150,3,0,1.8388384977349665,45.31200085177412
120,CUST120,Male,60,0,1,50,50,5,6,1.3090133628734761,42.59029842565609
121,CUST121,Female,28,2,4,50,200,10,6,1.7111602327460937,57.77496159737954
122,CUST122,Male,64,2,4,30,120,10,1,1.8441369498852398,35.46781797875704
123,CUST123,Female,40,2,2,30,60,5,0,0.9770052124577958,34.34553140718541
124,CUST124,Male,33,1,4,500,2000,10,4,0.6650778867915151,561.9032149449756
125,CUST125,Male,48,1,2,50,100,8,1,0.8419027438129125,53.10483961278043
126,CUST126,Female,28,1,3,30,90,10,3,1.1406616829393845,30.61028844730967
127,CUST127,Female,33,1,2,25,50,7,0,1.7270221488837396,20.8698675991141
128,CUST128,Male,25,0,1,500,500,7,2,1.7910958748845152,481.69064261413973
129,CUST129,Female,21,0,2,300,600,4,6,0.510428195796786,284.7226220414777
130,CUST130,Female,57,1,1,500,500,3,6,1.2661209538663485,451.9507567520653
131,CUST131,Female,21,0,2,300,600,9,0,1.1261165047231685,326.8104136426302
132,CUST132,Male,42,2,4,50,200,9,6,0.8331617157060953,49.91751470157541
133,CUST133,Male,20,2,3,300,900,2,3,0.6797980510005242,249.72554590891778
134,CUST134,Male,49,2,1,50,50,1,2,1.006422757105442,44.403664038996226
135,CUST135,Male,20,1,2,25,50,2,6,1.9143645558687787,26.83258763659596
136,CUST136,Male,44,2,2,300,600,3,0,0.9848043980311328,249.13570313883602
137,CUST137,Male,46,0,2,500,1000,11,5,1.278185932615049,570.2413828097536
138,CUST138,Male,49,1,4,50,200,3,3,1.5545284383427669,49.90293054027949
139,CUST139,Male,36,0,4,500,2000,12,4,1.045444403568941,496.1173154653296
140,CUST140,Male,38,2,1,30,30,8,5,1.957673124081441,31.108893415914213
141,CUST141,Female,22,2,1,50,50,11,3,1.9436709424131668,56.49361931850299
142,CUST142,Male,35,2,4,300,1200,2,3,0.8776734437380462,281.73710494826315
143,CUST143,Female,45,1,1,50,50,7,0,1.245872758838578,53.56032305118127
144,CUST144,Female,59,0,3,500,1500,7,5,0.9513174647251545,513.1463927991582
145,CUST145,Female,39,1,3,25,75,11,3,0.9272607415662014,22.670282701694212
146,CUST146,Male,38,1,4,50,200,8,0,0.5553304210317992,57.57259972710316
147,CUST147,Male,23,2,1,300,300,9,3,1.4143465009698453,335.69112259283133
148,CUST148,Male,18,1,2,30,60,5,1,1.2540185348432922,31.9014220159011
149,CUST149,Male,22,1,3,25,75,10,2,0.5772181268749841,28.50581729094242
150,CUST150,Female,58,2,4,30,120,1,4,0.9179696963549171,34.40753041151763
151,CUST151,Male,29,1,1,50,50,12,4,1.8623988289499804,54.16725953430069
152,CUST152,Male,43,2,4,500,2000,2,1,0.8593428360004587,567.4026656727344
153,CUST153,Male,63,2,2,500,1000,12,5,0.7173423081368346,539.4942923338567
154,CUST154,Male,51,2,3,300,900,10,0,1.2341791404163445,321.61689261123604
155,CUST155,Male,31,2,4,500,2000,5,2,1.978475681165901,523.7222756430368
156,CUST156,Female,43,1,4,25,100,11,5,0.8630829072672506,27.527166395576412
157,CUST157,Male,62,2,4,500,2000,6,5,1.5082033211088177,431.7210210586148
158,CUST158,Female,44,2,2,300,600,2,0,1.6424294229930765,345.7044911038714
159,CUST159,Male,26,1,4,50,200,5,2,0.8564563159885995,57.43687055490464
160,CUST160,Female,43,1,2,50,100,8,4,1.5923245229177894,40.58494566069118
161,CUST161,Male,64,0,2,500,1000,3,2,1.05167469907888,565.1633501129525
162,CUST162,Male,39,1,2,30,60,8,0,1.4484587458903693,25.546438409681343
163,CUST163,Female,64,1,3,50,150,1,0,1.450294566141342,46.70237708518284
164,CUST164,Female,47,0,3,500,1500,5,0,1.3036620261121377,548.7016512583216
165,CUST165,Female,60,1,4,300,1200,9,3,0.6354346550816125,259.291187525797
166,CUST166,Male,34,1,4,500,2000,4,6,1.752953743383857,563.5934048238125
167,CUST167,Female,43,1,3,50,150,9,6,0.9811700974576038,56.64268355915484
168,CUST168,Male,53,1,1,300,300,2,4,0.7797777655997813,300.89612805130037
169,CUST169,Male,18,0,3,500,1500,11,4,0.5611627123321459,401.2771743433667
170,CUST170,Female,25,1,2,25,50,6,4,1.3863394147823627,22.87038133174913
171,CUST171,Female,52,1,3,300,900,11,4,1.5163465427634235,314.03123020508906
172,CUST172,Male,32,0,2,25,50,9,6,0.5248817433917843,29.811861780274235
173,CUST173,Male,64,2,4,30,120,11,2,1.2681395874489214,31.581762324200017
174,CUST174,Female,39,0,1,300,300,4,2,0.8397436627969069,271.1764297276992
175,CUST175,Female,31,2,4,25,100,3,0,1.4677591856141747,26.34005703099611
176,CUST176,Female,43,0,2,50,100,7,1,0.7615496435074871,50.79970759431711
177,CUST177,Male,45,0,2,50,100,3,4,1.5364066071536988,55.596907903022874
178,CUST178,Male,40,1,2,30,60,10,2,1.0801030194508061,25.283767665923502
179,CUST179,Male,31,2,1,300,300,9,4,1.9050949831051018,331.32334830024337
180,CUST180,Male,41,1,3,300,900,1,6,0.7062814162189899,304.9519894411332
181,CUST181,Male,19,2,4,300,1200,11,4,1.0115995265753877,355.5590404630794
182,CUST182,Male,62,0,4,30,120,6,3,0.6702102818608836,28.102465992464232
183,CUST183,Female,43,0,3,300,900,9,4,1.887040427417844,315.91462717607374
184,CUST184,Male,31,2,4,50,200,1,1,1.8160090300714715,58.64056211020034
185,CUST185,Male,24,1,1,25,25,2,0,0.8869124415727334,21.02509727990679
186,CUST186,Male,20,1,4,50,200,7,2,1.4899760690512687,58.74456974472903
187,CUST187,Female,64,1,2,50,100,6,2,1.7258333003018238,53.757714446016266
188,CUST188,Male,40,1,3,25,75,5,2,1.3328012173991934,20.67837059105172
189,CUST189,Male,63,0,1,50,50,1,0,1.2944758675340098,46.01927133893632
190,CUST190,Female,60,0,3,30,90,5,3,0.8627784363506775,32.498065063743375
191,CUST191,Male,64,0,1,25,25,10,2,0.6396541517088488,20.673506014687717
192,CUST192,Male,62,0,2,50,100,2,4,1.84582363692999,51.64340920352547
193,CUST193,Male,35,0,3,500,1500,2,0,1.8506270857449958,469.17661139059135
194,CUST194,Male,55,1,4,50,200,9,2,1.4496521859099019,52.41831035534954
195,CUST195,Male,52,1,1,30,30,2,6,1.008544686573051,24.548904405750154
196,CUST196,Female,32,1,3,300,900,9,5,1.0238143619189914,344.58441673828514
197,CUST197,Female,42,1,4,50,200,3,0,1.588933518305359,59.46977938354794
198,CUST198,Female,54,0,3,300,900,3,1,1.8456653899288655,356.265342634283
199,CUST199,Male,45,0,3,500,1500,12,0,1.830629636397676,549.9303663485849
200,CUST200,Male,27,0,3,50,150,9,4,1.669813318786436,42.60172480261264
201,CUST201,Male,56,2,1,25,25,10,0,1.4630474692314317,27.582631959290225
202,CUST202,Female,34,1,4,300,1200,3,6,0.6262099474925733,242.95042997505618
203,CUST203,Male,56,1,2,500,1000,5,1,0.7424430711419207,404.42471030579947
204,CUST204,Male,39,0,1,25,25,9,3,1.847831282790619,23.236102191495412
205,CUST205,Female,43,1,1,25,25,11,1,1.4096435894893848,24.886431904046656
206,CUST206,Male,61,1,1,25,25,8,5,0.5137955774249445,27.70407417807793
207,CUST207,Female,42,0,2,25,50,4,2,0.6522073142990481,26.83295376606505
208,CUST208,Female,34,2,4,50,200,10,2,1.4952526536620838,48.918054127534965
209,CUST209,Female,30,2,4,50,200,12,2,0.507592375769328,45.47253332563332
210,CUST210,Male,37,2,4,50,200,4,3,0.741212077126248,59.94249000315421
211,CUST211,Male,42,0,3,500,1500,1,0,1.3231006840498791,485.2362604471946
212,CUST212,Male,21,1,3,500,1500,6,4,1.53784279653904,490.27740486593507
213,CUST213,Male,27,0,3,500,1500,7,0,1.4779418892539007,432.7247642383338
214,CUST214,Male,20,0,2,30,60,12,6,0.8364039641908396,33.53771458499915
215,CUST215,Male,58,1,3,500,1500,11,2,1.5682688320213038,538.7364451562977
216,CUST216,Male,62,2,2,50,100,7,1,0.8558736312452001,44.41539225577521
217,CUST217,Female,35,2,4,50,200,8,6,0.9880995472389016,41.64762091231686
218,CUST218,Male,64,0,3,30,90,9,4,1.6197371076770362,32.165991624896556
219,CUST219,Female,53,2,3,30,90,8,6,1.4744493485708219,31.85413457137362
220,CUST220,Male,64,0,1,500,500,3,4,1.7738351157412668,454.6519053996419
221,CUST221,Male,39,0,2,300,600,5,6,1.486419338450515,354.1036274700492
222,CUST222,Male,51,1,4,30,120,4,2,1.3524629050032075,25.812694701370805
223,CUST223,Female,64,1,1,25,25,2,3,0.6405121517421387,24.32334801042602
224,CUST224,Female,25,1,1,50,50,6,4,1.0515737045891502,58.872318403351976
225,CUST225,Female,57,0,4,25,100,1,2,0.8978035515225882,24.197273169261223
226,CUST226,Female,61,1,1,50,50,10,6,0.8659844650686254,52.77051895328171
227,CUST227,Male,36,2,2,50,100,10,2,1.9595158321286683,47.951887959255885
228,CUST228,Female,59,2,2,30,60,4,4,1.0896465870001406,27.29058242818404
229,CUST229,Male,58,0,3,30,90,10,6,1.83806983276567,35.80773177551794
230,CUST230,Male,54,0,1,25,25,4,6,1.4467079389958943,24.093340063150432
231,CUST231,Female,23,1,3,50,150,1,2,1.6922169553124726,57.88198407358269
232,CUST232,Female,43,0,1,25,25,2,0,1.2539556396577882,22.299546058910863
233,CUST233,Female,51,0,2,300,600,12,4,1.3653558269395387,265.57256448301
234,CUST234,Female,62,2,2,25,50,11,0,1.2387765407282958,20.311340828845115
235,CUST235,Female,23,2,2,500,1000,1,1,0.7928644816970667,530.3333650751771
236,CUST236,Female,54,1,1,25,25,4,4,1.583678172892258,23.685263437237612
237,CUST237,Female,50,0,2,500,1000,2,5,0.9211585436612837,572.8716499679274
238,CUST238,Female,39,0,1,500,500,1,1,0.5364739496471808,494.64198133831144
239,CUST239,Male,38,2,3,500,1500,6,0,1.4682084438607517,593.6386855829443
240,CUST240,Female,23,0,1,300,300,2,0,0.7656660191105734,262.26306188437457
241,CUST241,Female,23,2,3,25,75,9,3,1.9106878765293716,28.68623167955611
242,CUST242,Male,21,1,1,25,25,5,1,1.930892865503881,27.765968527917416
243,CUST243,Female,47,2,3,300,900,5,1,1.8722965853306728,332.51062135728625
244,CUST244,Male,28,0,2,50,100,12,5,1.0552380503831666,56.89566456233776
245,CUST245,Male,47,1,3,30,90,9,2,0.5231849247933011,33.13228789131599
246,CUST246,Female,48,2,2,25,50,4,3,1.8924778438815881,26.262203216314152
247,CUST247,Male,41,2,2,30,60,10,2,1.1422762224759715,25.574938532188654
248,CUST248,Male,26,1,3,300,900,3,3,1.9499822285655044,243.90314153895022
249,CUST249,Male,20,1,1,50,50,10,4,1.9454299656338794,58.41695695631374
250,CUST250,Male,48,2,1,50,50,10,0,1.7795141832010402,52.333006290414765
251,CUST251,Female,57,0,4,50,200,8,3,0.9416733381043785,55.93074581952353
252,CUST252,Male,54,2,1,300,300,5,4,1.0776465929028878,297.782682181506
253,CUST253,Female,53,1,4,500,2000,8,3,1.7767050072752855,423.46163779247894
254,CUST254,Male,41,2,1,500,500,7,4,0.9753830077344166,425.0371584405101
255,CUST255,Male,48,1,1,30,30,4,5,0.7542391200291387,32.22678344674766
256,CUST256,Male,23,1,2,500,1000,2,5,1.3352018936875252,486.06117897989253
257,CUST257,Male,19,0,4,500,2000,2,6,1.9042321612411715,440.1049453400674
258,CUST258,Female,37,1,1,50,50,12,0,1.5440446950124596,49.831890934828735
259,CUST259,Female,45,1,4,50,200,8,2,1.3550917551340476,41.284178741502686
260,CUST260,Male,28,0,2,30,60,7,5,0.6457647406561529,30.983656822972783
261,CUST261,Male,21,1,2,25,50,8,5,1.4225108400487545,22.689934044350977
262,CUST262,Female,32,0,4,30,120,7,6,1.985080775156395,33.57070920764626
263,CUST263,Male,23,0,2,30,60,8,0,0.7101260228547861,27.724343507082885
264,CUST264,Male,47,1,3,300,900,1,5,1.277494478545605,294.62641788981614
265,CUST265,Male,55,1,3,300,900,12,0,1.816059607891933,241.3944647889721
266,CUST266,Female,19,2,2,30,60,12,4,1.6111529266313067,24.869362653534708
267,CUST267,Female,32,0,3,30,90,11,0,1.5455236114929018,28.70992267688022
268,CUST268,Female,28,2,1,30,30,2,0,1.5537261259806638,29.759266016605483
269,CUST269,Male,25,1,4,500,2000,2,2,1.0392367268296328,520.0041096238608
270,CUST270,Male,43,2,1,300,300,7,2,0.94038776639674,274.9995094451164
271,CUST271,Female,62,0,4,30,120,6,4,1.7140417332177704,32.33978263351851
272,CUST272,Female,61,2,2,50,100,2,5,1.7151700920187711,57.20244794378409
273,CUST273,Female,22,0,1,50,50,5,0,1.8006084778701554,55.597019777867
274,CUST274,Female,23,1,2,500,1000,4,6,1.869860828834707,407.92376506967145
275,CUST275,Male,43,1,2,500,1000,4,5,1.2670135982914066,496.1013894515658
276,CUST276,Female,21,0,4,25,100,10,0,1.2522744420307994,21.04930178418175
277,CUST277,Male,36,1,4,25,100,8,4,1.6974427684501627,22.420450158625275
278,CUST278,Female,37,1,4,25,100,3,0,1.4749458961666477,29.866625932671464
279,CUST279,Male,50,1,1,500,500,8,5,1.552950315886555,428.4991085803027
280,CUST280,Female,37,1,3,500,1500,4,1,1.6936890041541517,499.7776306902712
281,CUST281,Female,29,0,4,500,2000,5,1,1.8350080127263495,523.6311468636238
282,CUST282,Female,64,2,4,50,200,8,4,1.0069927352773038,54.04929941088208
283,CUST283,Female,18,2,1,500,500,5,0,1.063374428959916,511.92973669738285
284,CUST284,Male,43,1,4,50,200,2,2,0.6409729097613035,40.19541694838368
285,CUST285,Female,31,2,1,25,25,8,1,1.3674202114942609,23.26461308243992
286,CUST286,Male,55,2,2,25,50,10,0,0.5539134106951131,25.177116433847115
287,CUST287,Male,54,1,4,25,100,2,0,1.1983970271986903,20.878664991448336
288,CUST288,Male,28,1,4,30,120,1,3,1.313966952061365,28.207523174510168
289,CUST289,Male,53,2,2,30,60,11,3,0.9298118781924266,24.398437305496397
290,CUST290,Female,30,0,2,300,600,10,2,1.3862498908535161,249.4294196586025
291,CUST291,Male,60,1,2,300,600,1,6,0.5457503749085741,287.6307931441915
292,CUST292,Male,20,0,4,300,1200,2,4,0.5560222831238216,255.92589048516726
293,CUST293,Male,50,2,3,30,90,5,1,1.7339008409894874,30.810490179138696
294,CUST294,Female,23,1,3,30,90,3,0,1.0402859621168943,32.27357962964719
295,CUST295,Female,27,0,3,300,900,7,4,0.6905907689778272,336.0704038930899
296,CUST296,Female,22,1,4,300,1200,9,2,1.2833648900822066,264.0180293093772
297,CUST297,Female,40,2,2,500,1000,9,0,1.6549903296479163,433.496516451814
298,CUST298,Male,27,0,4,300,1200,4,3,0.8237315412452648,252.54814084012804
299,CUST299,Male,61,2,2,500,1000,7,1,1.4343357137285004,527.2860499087273
300,CUST300,Female,19,2,4,50,200,1,1,0.628021197490652,54.12951452973802
301,CUST301,Male,30,1,4,30,120,3,6,0.5775225817529115,24.379033737907708
302,CUST302,Male,57,0,2,300,600,7,4,1.297031947352222,352.34546954924275
303,CUST303,Male,19,2,3,30,90,1,0,1.3109526824151598,24.623655403817672
304,CUST304,Female,37,2,2,30,60,7,2,1.4561448522473097,30.495556023612846
305,CUST305,Female,18,0,1,30,30,5,1,1.5891370005839924,32.508726233411
306,CUST306,Male,54,2,1,50,50,8,0,1.963778119193802,57.41938247492171
307,CUST307,Female,26,2,2,25,50,5,5,1.274450522451793,27.140869321324278
308,CUST308,Female,34,0,4,300,1200,8,5,0.984434709411869,336.207369968375
309,CUST309,Female,26,0,1,25,25,12,5,1.6927792921530556,23.39450192542806
310,CUST310,Female,28,0,1,25,25,10,3,0.9062483768931113,28.14825113746512
311,CUST311,Female,32,0,4,25,100,12,1,1.1584571310584542,20.80114846384675
312,CUST312,Male,41,1,4,30,120,9,3,0.617684572013399,34.737799872726335
313,CUST313,Female,55,0,3,500,1500,3,1,0.5380261151231862,509.51847523074724
314,CUST314,Male,52,1,4,30,120,4,5,1.9439726220168876,33.807573239549924
315,CUST315,Male,47,1,2,30,60,6,3,1.7539701807683088,29.4278194142196
316,CUST316,Female,48,1,2,25,50,4,5,1.5439613091405469,26.435776951965252
317,CUST317,Male,22,2,3,30,90,1,0,1.113429416621405,30.31683193123336
318,CUST318,Male,61,1,1,25,25,10,1,0.7599414801062687,27.315895217553322
319,CUST319,Male,31,1,1,500,500,10,3,0.734655564006629,416.32599640611795
320,CUST320,Female,28,2,4,300,1200,2,2,0.875364347246893,247.24225007886767
321,CUST321,Female,26,2,2,25,50,6,5,1.3238399970591808,22.471032340101466
322,CUST322,Male,51,2,1,500,500,1,0,1.5718938840500936,431.9089360226377
323,CUST323,Female,29,0,3,300,900,1,3,1.4902960650765968,344.6140279910642
324,CUST324,Female,52,2,3,50,150,10,4,0.9199008454189143,44.38427974716089
325,CUST325,Female,52,2,2,25,50,9,5,1.9322979209947913,29.75865255819131
326,CUST326,Female,18,1,3,25,75,9,4,1.6068453750436529,23.368957917711068
327,CUST327,Male,57,2,3,50,150,9,4,1.331531078767101,43.64235831377399
328,CUST328,Male,39,0,2,50,100,3,2,1.4175811193515284,55.79397014284958
329,CUST329,Female,46,2,4,25,100,1,0,1.1294000936416848,26.58707775500876
330,CUST330,Female,25,0,4,50,200,9,0,0.8715964842517362,49.96391432906278
331,CUST331,Male,28,2,3,30,90,2,5,1.0339590179768923,30.664362611251573
332,CUST332,Male,58,2,4,300,1200,4,3,1.6367691656965537,326.30421339267167
333,CUST333,Female,54,2,4,300,1200,2,6,0.5215902329446338,267.41456895975585
334,CUST334,Male,31,2,3,300,900,11,2,0.6741089607603743,359.560069926809
335,CUST335,Female,47,0,4,30,120,2,5,0.5690039630326291,35.69751794576139
336,CUST336,Female,52,0,3,50,150,12,1,0.5610932034784553,53.00651372693874
337,CUST337,Male,38,1,1,500,500,5,0,1.7831908760165107,439.90849018582907
